DrugGEN_MOL_ID,SMILES,DOCKING_SCORE
MOL_02_009945,Cc1ccc([C@@H]2CC[NH2+]C[C@H]2N[C@H](O)c2cc(-c3c(C)cnn3C)cn2C)cc1,-9.937
MOL_02_023489,C[C@@H]1C[C@@H](O)c2ncnc(N3CC[NH+]([C@H]([O-])[C@H](C[NH3+])c4ccc(C(Cl)(Cl)Cl)cc4Cl)CC3)c21,-9.926
MOL_02_009761,Cc1ccc([C@@H]2C[C@@H](C[C@H](O)[NH2+]C[C@H](O)CO)[NH2+]C[C@H]2N[C@H](O)c2cc(-c3c(C)cnn3C)c(C)o2)cc1C,-9.921
MOL_02_000496,CN(C)c1cccc(C[NH2+]C[C@H](O)[C@H](Cc2cc(Cl)cc(Cl)c2)[NH2+][C@H]([O-])[C@@H]2C[N@@H+](Cc3ccccc3)[C@@H]([O-])[NH2+]2)c1,-9.908
MOL_02_034109,C[C@@H]1C[C@@H](O)c2ncnc(N3CC[NH+]([C@H]([O-])[C@H](CC[NH2+]C4CCOCC4)c4ccc(OC(Cl)(Cl)Cl)c(Cl)c4)CC3)c21,-9.865
MOL_01_026467,O=C1C=CC(C)=C(C1=2)c3c(C2C)cc(C[NH3+])c(c3)C[NH3+],-9.847
MOL_02_045597,COc1ccc2nccc(CC[N@H+]3C[C@H](C[NH2+]Cc4ccc5c(n4)N[C@@H](O)CC5)[C@H](O)C3)c2n1,-9.803
MOL_02_009702,O=c1cc(N2CCOCC2)nc(C[C@H](O)Nc2ccccc2OCC[NH+]2CCCCC2)[nH]1,-9.79
MOL_01_030056,N[C@@]1([NH3+])C[C@]1(c1ccc(F)cc1)[C@H]([NH3+])CCCCc1cccnc1,-9.781
MOL_01_027820,Nc1ccc(n12)[nH]c(cc2=O)CC[C@H](O)CC[C@H](O)c3ccc(F)cc3,-9.687
MOL_01_024595,Clc1ccc(cc1)[C@H](CC([NH3+])(N)N)c2ccc(cc2)-c3ccncc3,-9.684
MOL_01_030681,[NH3+]C[C@@H](c1ccc(Cl)cc1)[C@H]([NH3+])Nc1ccc2cnccc2c1,-9.677
MOL_02_015378,[NH3+]C1(Cc2ccc3ccccc3c2)CCN(c2ncnc3c2CCN3)CC1,-9.676
MOL_02_008350,CCC[C@H](O)[NH2+][C@@H]1Cn2c(c(-c3ccc(O)cc3)c3c(N)ncnc32)[C@H]1C,-9.619
MOL_01_025351,CCC(=[NH2+])N1CCc2cc(C[NH2+]CCC(=[NH2+])N[C@@H]3CCCc4ccccc43)ccc21,-9.616
MOL_01_027955,CCn1c2ccccc2c2cc([C@H](N)[C@H]([NH3+])Nc3ccc(C[NH3+])c(C[NH3+])c3)ccc21,-9.613
MOL_01_030524,NC(=[NH2+])c1cccc(-c2cccc(CC(=[NH2+])NCc3ccc4ccccc4c3)c2)c1,-9.594
MOL_01_040534,O=C1N=C(N)S[C@@H]1c2cnc(OC)c(c2)[C@H]([NH3+])NCc3ccc(C(F)(F)F)cc3,-9.594
MOL_02_035850,CC(C)[NH2+]C[C@H](Cc1cccc(C(Cl)(Cl)Cl)c1)[C@H]([O-])[NH+]1CCN(c2ncnc3c2[C@@H](C)C[C@H]3O)CC1,-9.585
MOL_02_019447,CCc1c(N)ncnc1N1CCC(c2[nH+]c(-c3ccc(Cl)c(C)c3)cn2CC[NH3+])CC1,-9.577
MOL_02_024246,Cc1ccc([C@H](O)NCC2([NH3+])CCN(c3ncnc4c3CCN4)CC2)cc1,-9.577
MOL_02_045713,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](C[NH3+])[C@@H]1O,-9.572
MOL_02_032565,CC(C)c1ccc(N[C@H](O)[NH2+][C@@H]2CCN(c3ncnc4ccccc34)C2)cc1,-9.565
MOL_02_009548,C[C@@H]1C[C@@H](O)c2ncnc(N3CC[NH+]([C@H]([O-])[C@H](C[NH3+])c4ccc(C(Cl)(Cl)Cl)cc4)CC3)c21,-9.564
MOL_02_008766,COc1cc([C@H](O)[NH2+][C@@H]2CC[C@@H](O)N(C[C@H](O)[NH2+][C@H](CCCCN[C@H](O)c3ccccc3)[C@H](O)OC)[C@H]2O)cc(OC)c1OC,-9.532
MOL_01_031718,Clc1ccccc1CC[C@@](C)(C[NH3+])N[C@H]([NH3+])c2cccc(c2)CC(F)(F)F,-9.532
MOL_02_009750,Cc1ccc([C@@H]2CC[NH2+]C[C@H]2N[C@H](O)c2cc(-c3c(Cl)cnn3C)co2)cc1,-9.513
MOL_02_009587,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(C(Cl)(Cl)Cl)c3)cn2CC[NH+]2CCCC2)CC1,-9.508
MOL_01_026672,[NH3+]Cc1cccc(-c2cc(NCCc3cccnc3)nc(C[NH3+])n2)c1,-9.489
MOL_01_028275,CNc1cccc(CCc2ccc([C@@H]3[C@@H](C[NH3+])N(C(=[NH2+])C4CCCCC4)[C@H]3C[NH3+])cc2)c1,-9.468
MOL_02_009355,Cc1ccc([C@@H]2CC[NH2+]C[C@H]2N[C@H](O)c2cc(Cl)c(-c3c(C)cnn3C)o2)cc1,-9.457
MOL_02_045687,Nc1ncnc2c1ncn2[C@@H]1O[C@@H](COC(O)(O)N[C@H](O)[C@H]([NH3+])C[C@H]([NH3+])[O-])[C@@H](O)[C@H]1O,-9.452
MOL_02_009549,Cc1ccc([C@@H]2C[C@@H](CC[NH+]3CCC(O)CC3)[NH2+]C[C@H]2N[C@H](O)c2cc(-c3c(C)cnn3C)c(C)o2)cc1C,-9.444
MOL_01_016284,NC1=[NH+]CCN(Cc2ccccc2C(F)(F)F)[C@H]1CC(=[NH2+])NC1CCCCC1,-9.438
MOL_02_030820,CC[NH2+][C@H](NCCn1cnc2ccccc21)N1CCN(c2cnn(C)c2)[C@@H](O)C1,-9.432
MOL_02_045707,CC(O)(O[C@H]1[C@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1O)O[C@H]1[C@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1O,-9.432
MOL_02_045607,COc1ccc2nccc(N(C)C[C@]3(O)CC[C@H]([NH2+]Cc4cc5c(cn4)OCCO5)CC3)c2n1,-9.431
MOL_02_034523,Nc1nc(-c2cccc(C[NH3+])c2)c(-c2ccncn2)n2nc(Cc3cncn4ccnc34)nc12,-9.417
MOL_02_009662,Cc1cccc([C@H](N[C@H](O)c2ccc3cnccc3c2)C2CC[NH2+]CC2)c1,-9.416
MOL_01_029206,[NH3+]Cc1ccc(Cl)cc1NC(=O)c2cccc(c2)-n3ccnc3,-9.412
MOL_02_024422,CC(C)Nc1ccnc(N2CC[C@@H]([C@H](C[NH3+])n3cc(-c4ncnc5c4CCN5)cn3)C2)n1,-9.407
MOL_01_026112,[H]/N=C(\c1cc(C[NH3+])c(C[NH3+])c(C[NH3+])c1)c1cccc2c1ccn2C,-9.404
MOL_01_027205,C[N+]1=C(N)c2c(ccc(C(=[NH2+])NCc3ccc(F)cc3)c2C[NH3+])N[C@@H]1c1ccc(F)cc1,-9.4
MOL_02_025697,[NH3+]Cc1cc(Nc2nc3c(cnn3-c3ccccc3)c(=O)[nH]2)ccc1N1CCC(O)CC1,-9.385
MOL_02_036379,C[C@@H]1CCc2ncnc(N3CC4(CC[NH2+]CC4)c4cc(CC[NH3+])ccc43)c21,-9.382
MOL_01_032736,CCc1ccc([C@H](O)Cc2c(Cl)cncc2Cl)c(CC[C@H]([NH3+])O)c1CC,-9.378
MOL_01_027648,Cc(c1)ccc(c12)c(C[C@H](N)[C@H]([NH3+])N)nc3c2c(N)ncc3,-9.363
MOL_01_002043,[NH2+]1CC[NH2+]C1[C@H](O)N([C@H]2C[NH2+]C[NH2+]2)Cc(c(F)n3)cc(c34)cc(F)nc4F,-9.356
MOL_02_007866,ON[C@@H](Cc1ccc2ccccc2c1)[C@@H](O)[NH2+]CCCCCC[NH2+][C@@H](O)[C@@H](Cc1ccc2ccccc2c1)NO,-9.338
MOL_01_010651,c1ccccc1C[NH2+][C@H](CC[NH3+])CCc2cccc(c23)cncc3,-9.331
MOL_02_034492,C[NH2+][C@H](O)Nc1nc(-c2ccc(C[NH+]3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)cc1N,-9.324
MOL_02_009767,Cc1cnn(C)c1-c1cc([C@H](O)N[C@@H]2C[NH2+]C[C@H]2c2ccc(C(Cl)(Cl)Cl)cc2)oc1C,-9.318
MOL_02_022275,C[NH2+]C[C@H](O)COc1cccc(-c2nc(NCCC[N@H+]3CCC[C@H]3[O-])cc(-c3cc4ccccc4o3)n2)c1,-9.315
MOL_02_009775,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(C(Cl)(Cl)Cl)c3)cn2CC[NH3+])CC1,-9.304
MOL_02_033063,[NH3+]Cc1cc2ccccc2nc1-n1cnc(C[NH3+])c1C[NH3+],-9.303
MOL_01_031450,C[C@H]([NH3+])c1ccc(Cl)cc1N[C@H]([NH3+])Cc1cccc2ccccc12,-9.297
MOL_02_045648,C[C@@H](CC[C@H](C)[NH3+])C[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1O,-9.293
MOL_02_045763,Nc1ncnc2c1ncn2[C@@H]1O[C@@H](CC[C@@H](CC[NH3+])CCCCC[NH3+])[C@H](O)[C@@H]1O,-9.289
MOL_02_024085,[NH3+]Cc1cnc2c(NC3CC3)cc(Nc3cc(N(C[NH3+])C[NH3+])cc(N4CC[NH+](CCO)CC4)c3)nn12,-9.271
MOL_02_023375,Cc1ccc2ncnc(N3CCC[C@]4(CC[NH2+]C4)C3)c2n1,-9.265
MOL_01_029898,Nc1c(Cl)cccc1NC(=O)[C@@H](NC(=O)c1ccccc1Cl)[C@@H](N)[NH3+],-9.246
MOL_02_026593,N[C@@H]([NH3+])C1CCN(c2cccc3nccn23)CC1,-9.244
MOL_02_009056,Cc1ccc([C@H](N[C@H](O)c2ccc3cnccc3c2)C2CC[NH2+]CC2)cc1C,-9.23
MOL_02_009416,[NH3+]Cc1cc(N[C@H](O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)ccc1Cl,-9.228
MOL_02_009184,[NH3+]Cc1cccc(N[C@H](O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)c1O,-9.225
MOL_02_025751,Cc1ccc([C@H](C[NH+]2CCC([NH+](C)C)CC2)[C@H]([O-])[NH+]2CCN(c3ncnc4c3[C@@H](C)C[C@H]4O)CC2)cc1Cl,-9.221
MOL_02_008884,Nc1ncnc2c1ncn2[C@@H]1O[C@@H](C[C@H]([NH3+])CC2CCCCC2)[C@@H](O)[C@H]1O,-9.208
MOL_02_009173,Cc1ccc([C@H](N[C@H](O)c2ccc3cnccc3c2)C2CC[NH2+]CC2)cc1C[NH3+],-9.207
MOL_01_000904,CCc1ccc(NC)c(c1)CN[C@H](O)[C@H]([NH2+]C)n(c2=O)cc(F)c(c23)[nH]c4c3cccc4,-9.206
MOL_01_032245,[NH3+]Cc1ccc(N[C@H]([NH3+])CN[C@H]([NH3+])Cc2cccc3ccccc23)c(C[NH3+])c1,-9.198
MOL_01_028752,[NH3+]Cc1cc(C[N@H+]2CCC[C@@H]([C@H]([NH3+])Nc3ccccc3Cc3cccnc3)C2)ccc1F,-9.197
MOL_02_009560,O=c1cc(N2CCOCC2)nc(C[C@H](O)Nc2cccc(Cl)c2O)[nH]1,-9.194
MOL_02_009644,Cc1cc([C@H](N[C@H](O)c2ccc3cnccc3c2)C2CC[NH2+]CC2)cnc1C,-9.192
MOL_02_027809,C[NH2+]CCn1cc(-c2ccc(Cl)c(C)c2)[nH+]c1C1CCN(c2ncnc(N)c2N)CC1,-9.192
MOL_02_033147,O=c1cc(N2CCOCC2)nc(C[C@H](O)Nc2ccccc2O)[nH]1,-9.182
MOL_02_017998,Cc1cc(-c2cn(CC3C[NH+](C)C3)c(C3CCN(c4ncnc(N)c4C)CC3)[nH+]2)ccc1Cl,-9.17
MOL_02_045608,CCC[NH2+][C@H](CC[C@H]([NH3+])C(O)O)C[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1O,-9.161
MOL_01_029228,C[C@](C[NH3+])(COc1ccc(C[NH3+])cc1C(F)(F)F)N[C@@H]([NH3+])c1ccc(C(F)(F)F)cc1,-9.158
MOL_01_026927,CCCc1ccc([C@H]([NH3+])Nc2ccc(OC)nc2[C@H]([NH3+])NCC2CCOCC2)c2ccccc12,-9.156
MOL_01_007514,Fc1cc(F)c(F)cc1C[C@H]([NH3+])C[C@H]([NH3+])N(C2)CCn(c23)cnc3-c4ccccn4,-9.153
MOL_02_045684,Nc1ncnc2c1ncn2[C@@H]1O[C@@H](CCCCc2ccccn2)[C@@H](O)[C@H]1O,-9.147
MOL_01_029476,Cn1cc(N[NH2+]N[C@H]([NH3+])CCc2ccc(F)cc2)c2ccccc21,-9.144
MOL_01_014798,[NH3+]Cc1c(Cl)cc(Cl)cc1[C@H]([NH3+])Nc2cccc(c23)cccn3,-9.14
MOL_02_002683,C[N@H+](CCC[NH2+][C@H](O)Nc1ccc(C(C)(C)C)cc1)C[C@@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@@H](O)[C@H]1O,-9.138
MOL_02_009330,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(C)c3)cn2CC[NH+](C)C)CC1,-9.138
MOL_01_029023,C=C(C[C@H]([NH3+])/C(C)=N/c1cc(C(F)(F)F)ccc1Cl)c1cc(C[NH3+])c(C[NH3+])cc1C[NH3+],-9.134
MOL_02_009438,Cc1ccc([C@@H]2C[C@@H](CC[NH+](C)C)[NH2+]C[C@H]2N[C@H](O)c2cc(-c3c(C)cnn3C)c(C)o2)cc1C,-9.133
MOL_02_022598,[NH3+]Cc1cc(-c2ncnc3c2CCN3)cn1-c1ccccc1,-9.129
MOL_01_030159,NC(=[NH2+])C1=C(NC(=[NH2+])CCc2ccc3cc(N)ccc3c2)CC[C@H](c2ccc(F)cc2)C1,-9.125
MOL_01_019999,CCC[C@H]([NH3+])c1cnn(-c2ccc(Cl)cc2)c1N[C@H]([NH3+])c(c(N)c3)cc(c34)cc(C)cc4,-9.124
MOL_02_033532,[O-][C@@H]1[NH2+]CC[N@H+]1CCNc1ccc2ncc(-c3ccccc3)n2n1,-9.116
MOL_02_007893,COc1ccc2nccc(N(C)C[C@]3(O)CC[C@H]([NH2+]Cc4ccc5c(n4)N[C@@H](O)CC5)CC3)c2n1,-9.115
MOL_02_036325,C[C@@H]1CCc2ncnc(N3CC4(CC[NH2+]CC4)c4cc(C[NH3+])ccc43)c21,-9.105
MOL_02_005832,C[C@H](O)[C@H]([NH2+][C@H](O)CCc1ccccc1)[C@H]([O-])[NH2+][C@H](Cc1ccccc1)[C@H]([O-])[NH2+][C@H](CC[C@H]([NH3+])O)C(O)O,-9.103
MOL_02_031271,Oc1cccc2c1CCN2[C@H](O)C[C@H]1N[C@H]([NH+]2CCOCC2)C[C@H](O)N1,-9.099
MOL_02_002197,[NH3+]CC[C@H](N[C@H](O)c1ccc(-c2cccc(NC(O)(O)c3ccc4[nH]c(=O)c(=O)[nH]c4c3)c2)o1)[C@H](O)N1CC[NH2+]CC1,-9.085
MOL_02_012734,Nc1ncccc1-c1cncn1-c1ccc(C[NH3+])cc1,-9.084
MOL_01_031915,[NH3+]Cc1ccccc1[C@H]([NH3+])C[C@H]([NH3+])c1ccc(-n2ccnc2)cc1,-9.082
MOL_02_023691,Cc1[nH+]c(CC[NH3+])c2n1CCN(c1cccnc1)C2,-9.08
MOL_01_015142,c1cccc(c12)[C@@H]([NH3+])[C@@H]([C@H]2[NH3+])c3cc(F)cc(c3)Cc4cccnc4,-9.072
MOL_02_016364,[NH3+]Cc1cc2c(nc1-n1cnc(C[NH3+])c1C[NH3+])CCCC2,-9.066
MOL_02_010056,Cc1ccc([C@@H]2CC[NH2+]C[C@H]2N[C@H](O)c2cc(Cl)c(-c3ccnn3C)o2)cc1,-9.063
MOL_02_027323,[NH3+]Cc1cc2c(nc1-n1cnc(C[NH3+])c1C[NH3+])CCC2,-9.063
MOL_02_009557,C[C@@H]1CCc2ncnc(N3CC[NH+]([C@H]([O-])[C@H]([NH3+])Cc4ccc(Cl)cc4)CC3)c21,-9.059
MOL_01_019368,[NH3+]Cc1ccc(c(C[NH3+])c1C[NH3+])-c2cc(Nc3ccccc3)nn2-c4ccc(F)cc4,-9.057
MOL_02_045598,N[C@@H]([NH3+])NCCC[C@H]([NH2+][C@H](O)CCc1ccccc1)[C@H](O)N[C@H](Cc1ccccc1)[C@H]([NH3+])O,-9.055
MOL_01_027371,[NH3+]Cc1cccc([C@H]2CCN(c3ccc(-c4ccncc4)cc3)[C@@H]2[NH3+])c1,-9.055
MOL_01_028998,[NH3+]Cc1[nH]cc(c(=O)c1C[NH3+])[C@H](O)c2ccccc2Cl,-9.052
MOL_02_033089,Cc1nc2cccnc2n1-c1ccc(C[NH3+])c(C[NH3+])c1,-9.052
MOL_02_000546,CN1c2ccccc2[C@@H](c2ccccc2)N[C@@H]([NH2+][C@H](O)Nc2ccc(C(O)O)cc2)[C@H]1O,-9.051
MOL_01_029375,C[C@](C[NH3+])(COc1cc(C[NH3+])ccc1C(F)(F)F)N[C@@H]([NH3+])c1ccc(CC(F)(F)F)cc1,-9.051
MOL_02_009074,O=c1cc(N2CCOCC2)nc(C[C@H](O)Nc2cccc3c2NCCC3)[nH]1,-9.047
MOL_02_045638,CC(C)O[C@H](O)[C@H]([NH3+])CCCC[C@@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@@H](O)[C@H]1O,-9.038
MOL_01_031717,[NH3+]Cc1ccc(C[NH+]2CCC([C@H]([NH3+])N3CCN(c4ccccc4F)CC3)CC2)cc1C[NH3+],-9.037
MOL_02_010040,Cc1ccc([C@H](N[C@H](O)c2ccc3cnccc3c2)C2CC[NH2+]CC2)cc1Cl,-9.035
MOL_02_035909,Cc1cc([C@H](C[NH2+]C(C)C)[C@H]([O-])[NH+]2CCN(c3ncnc4c3[C@@H](C)C[C@H]4O)CC2)cc(C(Cl)(Cl)Cl)c1,-9.034
MOL_02_035867,CC(C)[NH2+]C[C@H](c1cc(C(Cl)(Cl)Cl)cc(C(Cl)(Cl)Cl)c1)[C@H]([O-])[NH+]1CCN(c2ncnc3c2[C@@H](C)C[C@H]3O)CC1,-9.032
MOL_01_024540,O=c1cc(N2CCOCC2)nc(C[C@H](O)Nc2ccccc2OCC[NH+]2CCCC2)[nH]1,-9.029
MOL_01_030587,NC(=[NH2+])c1cc(Cl)c(Cl)cc1C(=[NH2+])Nc1cccc2cccnc12,-9.004
MOL_02_024932,[NH3+][C@@H]1Cc2cc(-n3ccnc3)ccc2[C@H]2[NH2+]CCCN12,-9.004
MOL_01_029844,CCc1cc(N[C@H]([NH3+])c2ccc(-c3ccccc3)cc2)c([C@@H](N)[NH3+])cc1CC,-8.998
MOL_02_015940,c1nc2c(c(N3CC[C@]4(CCCC[NH2+]4)C3)n1)CCN2,-8.994
MOL_01_030041,Cc1ccc(F)c(N[C@H]([NH3+])Nc2ccccc2CCc2ccc3nccn3n2)c1,-8.991
MOL_02_018033,Cc1ccc([C@H](C[NH3+])[C@H]([O-])[NH+]2CCN(c3ncnc4c3[C@@H](C)C[C@H]4O)CC2)c(Cl)c1,-8.991
MOL_02_007991,OC(O)c1c(Cl)cc(Cl)c(N[C@H](O)COCCOCCOCCOC[C@H](O)Nc2c(Cl)cc(Cl)c(C(O)O)c2Cl)c1Cl,-8.99
MOL_01_031092,Nc1ccc(-c2ccccc2)cc1N[C@H]([NH3+])c1ccc(CN(Cc2cccnc2)[C@H]([NH3+])[O-])cc1,-8.983
MOL_02_030892,O=c1[nH]nc2cc(NCC[NH+]3CCOCC3)ncn12,-8.979
MOL_02_020509,Nc1cc(-c2cncn2-c2cccc(C[NH3+])c2)ccn1,-8.974
MOL_02_045805,[NH3+]C[C@H](c1ccccc1)[C@H](O)Nc1ccc2cnccc2c1,-8.969
MOL_02_009642,Cc1ccc(C[C@H]([NH3+])[C@H]([O-])[NH+]2CCN(c3ncnc4ccccc34)CC2)c(C)c1,-8.967
MOL_02_021162,Cn1nc2c(c1-c1ccccc1)-c1nc(N[C@@H]([NH3+])CC[NH2+]CCN3CC[NH+](C)CC3)ncc1CC2,-8.963
MOL_02_018366,Cc1ccc([C@H](CC[NH3+])[C@H]([O-])[NH+]2CCN(c3ncnc4c3[C@@H](C)C[C@H]4O)CC2)c(Cl)c1,-8.961
MOL_02_017955,[NH3+]Cc1cccc(-c2cc(-n3c4ccccc4c4ccncc43)nc(-n3c4ccccc4c4cc[nH+]cc43)c2)c1C[NH3+],-8.956
MOL_02_019873,[O-][C@@H]1CCC[N@@H+]1CCC[NH2+][C@H](O)Cc1cn(-c2ccc(Nc3ccc(-n4ccnc4)cc3)nn2)c2ccccc12,-8.955
MOL_01_032339,CCN(CC(=[NH2+])Nc1c(F)cccc1F)C(=[NH2+])[C@H]1CC(N)=[N+](CCc2ccccc2)C1,-8.951
MOL_02_045762,[NH3+]C[C@H](c1ccccc1Cl)[C@H](O)Nc1ccc2cnccc2c1,-8.948
MOL_01_029931,[NH3+]Cc1ccccc1N[C@H](O)C1C[NH+]([C@H]([O-])c2ccc3c(c2)OCO3)C1,-8.947
MOL_02_022518,Nc1ncnn2c([C@H](O)CN3CC[N@H+](Cc4ccccc4)C[C@H]3CO)ccc12,-8.946
MOL_01_026950,O=C(NCc1ccc(Cc2cncc(C(F)(F)F)c2)cn1)c1ccc2nccn2c1,-8.935
MOL_02_003276,CC(O)(O)c1ccc(C[N@H+]2CCC[C@@H](Nc3cccc4cnccc34)C2)cc1,-8.934
MOL_02_032341,O[C@H](N[C@@H]1COc2ccccc2C1)[NH+]1CCN(c2ccc3nccn3n2)CC1,-8.933
MOL_01_028777,[NH3+]Cc1cc(NCc2ccncc2)c([C@H](O)Nc2ccccn2)cc1C[NH3+],-8.929
MOL_01_030316,C[C@H]([NH3+])C[C@@H]([NH3+])N(CCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,-8.927
MOL_02_024431,[NH3+]Cc1cc(-c2cccc3ccccc23)nnc1NCC[NH+]1CCOCC1,-8.924
MOL_01_026852,[NH3+][C@@H](c1ccc(C(F)(F)F)cc1)[C@H]1CCC[N@@H+](Cc2ccncc2)C1,-8.92
MOL_01_032140,[NH3+]Cc1cccc([C@H]([NH3+])Nc2cccc3cccnc23)c1C[NH3+],-8.918
MOL_02_015696,Nc1c(N(CC[NH3+])CC[NH3+])ncnc1-n1cnc2ccccc21,-8.918
MOL_02_009063,Cc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)cc3)cn2CC[NH+]2CCCC2)CC1,-8.912
MOL_02_019881,O[C@H](N[C@@H]1CC[C@@H]2CC[C@H]1[N@@H+]2Cc1c(Cl)cccc1Cl)[n+]1ccc2[nH]nc([C@@H]3CC[C@H]4[NH2+]CC[N@H+]4C3)c2c1,-8.91
MOL_02_009898,O=c1cc(N2CCOCC2)nc(C[C@H](O)Nc2cccc(N(O)O)c2O)[nH]1,-8.909
MOL_01_028287,Cc1ccc2c(c1)N(CCC[C@H]([NH3+])Nc1cccc(C(F)(F)F)c1)[C@H]([NH3+])CO2,-8.907
MOL_02_010049,C[NH2+]CCn1cc(-c2ccnc(C(Cl)(Cl)Cl)c2)nc1C1CCN(c2ncnc(N)c2Cl)CC1,-8.906
MOL_02_007352,Oc1cccc(C[C@@H]2C[NH2+]C[C@@H](Cc3cccc(O)c3)C2O)c1,-8.905
MOL_02_006136,COc1ccc([C@H](C[C@H]([NH3+])O)N2[C@H](O)c3ccccc3[C@@H]2O)cc1OC,-8.898
MOL_02_006763,[NH3+][C@@H]1CCC[C@@H](c2cc[nH+]cc2N[C@H](O)c2ccc(Cl)c(-c3c(Cl)ccc(O)c3Cl)n2)C1,-8.895
MOL_02_009071,Cn1nccc1-c1ccc([C@H](O)N[C@@H]2C[NH2+]CC[C@H]2c2cccc(Cl)c2)nc1,-8.884
MOL_01_025423,Cc1nc(-c2cccc(Cc3ccccc3)c2)c(C(N)=[NH2+])c(C(N)=[NH2+])c1N,-8.883
MOL_02_004412,OC(O)CC[C@H](NN[C@H](O)C[NH2+][C@H](O)Cc1ccccc1)c1ccccc1,-8.882
MOL_02_045655,Nc1ncnc2c1ncn2[C@H]1C[C@@H](O)[C@H](C[NH3+])O1,-8.876
MOL_01_026645,Nc1cc(C[NH3+])c(C(=O)N[C@H]2CC[N@H+](CCCCc3ccc(F)cc3)C[C@@H]2C[NH3+])cc1Cl,-8.876
MOL_02_009625,Cc1cnn(C)c1-c1cc([C@H](O)N[C@H](C[NH3+])Cc2cccc(Cl)c2)oc1C,-8.872
MOL_01_032262,[NH3+]Cc1ccc([C@H]([NH3+])N2CCC([NH+]3CCN(c4ccccc4)CC3)CC2)cc1C[NH3+],-8.87
